,AgeGroup,Gender,MaritalStatus,Attrition,BusinessTravel,DistanceFrom_Home,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,HourlyRate,DailyRate,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
494,30-39,Female,Divorced,No,Travel Rarely,Close,Sales,Bachelor,Technical Degree,High,High,Lvl 1,Sales Representative,High,31,204,2579,2912,1,Yes,18,Excellent,Very High,80,Lvl 2,0-10 years,3 years,Better,0-10 years,2 years,0 year,6 years
495,20-29,Male,Divorced,Yes,Travel Rarely,Very Close,Sales,Below College,Marketing,High,High,Lvl 1,Sales Representative,Low,85,1420,3041,16346,0,No,11,Excellent,Medium,80,Lvl 1,0-10 years,3 years,Better,0-10 years,3 years,0 year,2 years
496,20-29,Male,Single,No,Travel Rarely,Far,Sales,Below College,Technical Degree,High,High,Lvl 1,Sales Representative,High,49,1343,3447,24444,1,No,11,Excellent,High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,1 years,2 years
497,40-49,Male,Married,No,Travel Rarely,Very Close,Research & Development,Master,Other,Very High,High,Lvl 5,Manager,Very High,35,1315,19513,9358,4,Yes,12,Excellent,Low,80,Lvl 1,21-29 years,2 years,Best,0-10 years,2 years,0 year,1 years
498,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Low,High,Lvl 1,Research Scientist,High,69,604,2773,12145,0,No,20,Outstanding,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,2 years,2 years
499,30-39,Male,Divorced,No,Travel Rarely,Very Close,Sales,Master,Marketing,High,High,Lvl 2,Sales Executive,High,39,1216,7104,20431,0,No,12,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,0 year,1 years,2 years
500,30-39,Female,Married,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Low,High,Lvl 2,Research Scientist,Very High,92,646,6322,18089,1,Yes,12,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Good,0-10 years,4 years,0 year,5 years
501,30-39,Female,Divorced,No,Travel Frequently,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 1,Research Scientist,High,71,160,2083,22653,1,No,20,Outstanding,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
502,50-59,Female,Single,No,Travel Rarely,Very Close,Sales,Below College,Medical,Very High,High,Lvl 2,Sales Executive,Low,34,238,8381,7507,7,No,20,Outstanding,Very High,80,Lvl 0,11-20 years,2 years,Best,11-20 years,7 years,8 years,10 years
503,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Doctor,Life Sciences,Medium,High,Lvl 1,Research Scientist,Very High,42,1397,2691,7660,1,No,12,Excellent,Very High,80,Lvl 1,11-20 years,4 years,Good,11-20 years,9 years,8 years,8 years
504,40-49,Female,Married,Yes,Travel Frequently,Far,Sales,Master,Life Sciences,Low,High,Lvl 2,Sales Executive,Low,100,306,4286,5630,2,No,14,Excellent,Very High,80,Lvl 2,0-10 years,4 years,Better,0-10 years,1 years,0 year,0 year
505,20-29,Female,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 1,Laboratory Technician,Very High,71,991,2659,17759,1,Yes,13,Excellent,High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,0 year,2 years
506,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Other,High,High,Lvl 3,Manufacturing Director,High,36,482,9434,9606,1,No,15,Excellent,High,80,Lvl 1,11-20 years,2 years,Better,11-20 years,7 years,7 years,8 years
507,20-29,Female,Married,No,Travel Rarely,Very Close,Sales,College,Medical,Medium,High,Lvl 2,Sales Executive,High,62,1176,5561,3487,1,No,14,Excellent,Low,80,Lvl 1,0-10 years,5 years,Good,0-10 years,0 year,1 years,2 years
508,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Medium,Low,Lvl 2,Research Scientist,Very High,82,1017,6646,19368,1,No,13,Excellent,Medium,80,Lvl 0,11-20 years,3 years,Better,11-20 years,11 years,11 years,8 years
509,30-39,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 2,Healthcare Representative,Very High,30,1296,7725,5335,3,No,23,Outstanding,High,80,Lvl 1,11-20 years,2 years,Bad,11-20 years,11 years,4 years,7 years
510,50-59,Male,Married,No,Travel Rarely,Close,Human Resources,Master,Medical,High,High,Lvl 3,Human Resources,Medium,88,397,10725,6729,2,No,15,Excellent,High,80,Lvl 1,11-20 years,1 years,Best,0-10 years,7 years,7 years,1 years
511,30-39,Male,Divorced,No,Travel Rarely,Very Close,Research & Development,College,Medical,Medium,Medium,Lvl 2,Manufacturing Director,Medium,48,913,8847,13934,2,Yes,11,Excellent,High,80,Lvl 1,11-20 years,2 years,Better,0-10 years,2 years,0 year,2 years
512,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,Master,Medical,Low,Medium,Lvl 1,Research Scientist,Very High,54,1115,2045,15174,0,No,13,Excellent,Very High,80,Lvl 0,0-10 years,0 year,Better,0-10 years,2 years,1 years,1 years
513,20-29,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Below College,Medical,Very High,High,Lvl 1,Research Scientist,High,32,1362,1009,26999,1,Yes,11,Excellent,Very High,80,Lvl 0,0-10 years,5 years,Better,0-10 years,0 year,1 years,1 years
514,30-39,Male,Single,Yes,Travel Frequently,Very Close,Research & Development,Bachelor,Life Sciences,Low,High,Lvl 1,Research Scientist,Low,70,1076,3348,3164,1,Yes,11,Excellent,Low,80,Lvl 0,11-20 years,3 years,Better,11-20 years,8 years,9 years,7 years
515,30-39,Male,Married,No,Non Travel,Very Close,Research & Development,Bachelor,Life Sciences,High,Medium,Lvl 1,Laboratory Technician,High,41,727,1281,16900,1,No,18,Excellent,High,80,Lvl 2,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
516,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Low,Very High,Lvl 1,Research Scientist,Low,58,885,2819,8544,2,No,16,Excellent,Low,80,Lvl 1,0-10 years,3 years,Best,0-10 years,2 years,0 year,2 years
517,20-29,Male,Married,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,Very High,Very High,Lvl 2,Sales Executive,Medium,57,810,4851,15678,0,No,22,Outstanding,High,80,Lvl 1,0-10 years,4 years,Better,0-10 years,2 years,1 years,2 years
518,30-39,Female,Single,No,Travel Rarely,Very Close,Sales,Master,Marketing,Very High,Medium,Lvl 2,Sales Executive,Very High,46,243,4028,7791,0,No,20,Outstanding,Low,80,Lvl 0,0-10 years,2 years,Better,0-10 years,7 years,0 year,5 years
519,20-29,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,Master,Life Sciences,Medium,Low,Lvl 1,Research Scientist,Very High,76,806,2720,18959,1,No,18,Excellent,Very High,80,Lvl 1,11-20 years,5 years,Better,11-20 years,7 years,2 years,8 years
520,40-49,Male,Married,No,Travel Rarely,Very Close,Sales,Below College,Marketing,Medium,Very High,Lvl 2,Sales Executive,Medium,56,817,8120,18597,3,No,12,Excellent,Very High,80,Lvl 0,11-20 years,3 years,Better,0-10 years,2 years,2 years,2 years
521,20-29,Female,Divorced,No,Travel Frequently,Very Close,Sales,Below College,Medical,Very High,Very High,Lvl 2,Sales Executive,Very High,71,1410,4647,16673,1,Yes,20,Outstanding,Medium,80,Lvl 2,0-10 years,3 years,Better,0-10 years,5 years,0 year,4 years
522,30-39,Male,Single,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Very High,Very High,Lvl 1,Research Scientist,Very High,80,1225,4680,15232,3,No,17,Excellent,Low,80,Lvl 0,0-10 years,2 years,Better,0-10 years,0 year,0 year,0 year
523,50-59,Male,Married,No,Travel Rarely,Far,Research & Development,Below College,Medical,Very High,Very High,Lvl 1,Laboratory Technician,High,74,1207,3221,3297,1,Yes,11,Excellent,High,80,Lvl 3,21-29 years,3 years,Better,21-29 years,8 years,3 years,8 years
524,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,Medium,Lvl 3,Healthcare Representative,Medium,46,1442,8621,17654,1,No,14,Excellent,Medium,80,Lvl 0,0-10 years,3 years,Best,0-10 years,7 years,7 years,7 years
525,20-29,Female,Single,Yes,Travel Rarely,Very Close,Sales,College,Life Sciences,Low,High,Lvl 2,Sales Executive,High,65,693,4577,24785,9,No,14,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,2 years,0 year
526,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Master,Technical Degree,Very High,Medium,Lvl 2,Healthcare Representative,High,80,408,4553,20978,1,No,11,Excellent,Low,80,Lvl 0,21-29 years,4 years,Better,21-29 years,7 years,11 years,10 years
527,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Very High,High,Lvl 2,Sales Executive,Very High,55,929,5396,21703,1,No,12,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Good,11-20 years,7 years,0 year,8 years
528,50-59,Male,Married,Yes,Travel Frequently,Very Close,Sales,College,Technical Degree,Medium,High,Lvl 2,Sales Executive,High,50,562,6796,23452,3,Yes,14,Excellent,Low,80,Lvl 1,11-20 years,4 years,Better,0-10 years,3 years,1 years,3 years
529,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Master,Life Sciences,Medium,Very High,Lvl 2,Healthcare Representative,Very High,33,827,7625,19383,0,No,13,Excellent,High,80,Lvl 0,11-20 years,4 years,Good,0-10 years,7 years,1 years,8 years
530,20-29,Female,Married,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,High,High,Lvl 3,Manufacturing Director,Low,68,608,7412,6009,1,No,11,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,7 years,0 year,7 years
531,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,College,Life Sciences,High,High,Lvl 3,Research Director,Very High,39,1018,11159,19373,3,No,15,Excellent,Very High,80,Lvl 0,11-20 years,6 years,Better,0-10 years,7 years,7 years,7 years
532,40-49,Male,Single,No,Travel Rarely,Close,Sales,Master,Marketing,Very High,High,Lvl 2,Sales Executive,Low,42,703,4960,11825,2,No,12,Excellent,Very High,80,Lvl 0,21-29 years,2 years,Better,0-10 years,7 years,1 years,7 years
533,40-49,Male,Married,No,Travel Frequently,Very Close,Sales,Master,Life Sciences,Very High,Medium,Lvl 3,Sales Executive,Low,48,580,10475,23772,5,Yes,21,Outstanding,High,80,Lvl 1,21-29 years,2 years,Better,11-20 years,13 years,1 years,12 years
534,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,Very High,Lvl 4,Research Director,High,59,970,14814,13514,3,No,19,Excellent,High,80,Lvl 0,31-40 years,3 years,Better,0-10 years,1 years,1 years,3 years
535,40-49,Male,Divorced,No,Travel Rarely,Very Close,Human Resources,Master,Human Resources,Medium,Medium,Lvl 5,Manager,Very High,73,427,19141,8861,3,No,15,Excellent,Medium,80,Lvl 3,21-29 years,2 years,Good,21-29 years,6 years,12 years,6 years
536,60+,Male,Single,No,Travel Rarely,Close,Sales,Master,Marketing,Low,High,Lvl 2,Sales Executive,Low,84,1179,5405,11924,8,No,14,Excellent,Very High,80,Lvl 0,11-20 years,1 years,Better,0-10 years,2 years,2 years,2 years
537,20-29,Male,Divorced,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Very High,High,Lvl 3,Manufacturing Director,Low,32,294,8793,4809,1,No,21,Outstanding,High,80,Lvl 2,0-10 years,4 years,Good,0-10 years,7 years,1 years,7 years
538,40-49,Male,Married,No,Travel Rarely,Very Close,Human Resources,Bachelor,Human Resources,Very High,Medium,Lvl 5,Manager,High,59,314,19189,19562,1,No,12,Excellent,Medium,80,Lvl 1,21-29 years,3 years,Better,21-29 years,7 years,2 years,10 years
539,50-59,Male,Married,No,Travel Rarely,Very Close,Sales,Master,Marketing,Very High,High,Lvl 1,Sales Representative,Medium,54,316,3875,9983,7,No,15,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
540,20-29,Female,Single,Yes,Travel Rarely,Very Close,Research & Development,College,Life Sciences,Low,Low,Lvl 1,Research Scientist,Medium,67,654,2216,3872,7,Yes,13,Excellent,Very High,80,Lvl 0,11-20 years,4 years,Better,0-10 years,7 years,3 years,7 years
541,30-39,Female,Married,No,Non Travel,Very Close,Research & Development,Bachelor,Life Sciences,Low,Very High,Lvl 3,Research Director,Low,63,427,11713,20335,9,No,14,Excellent,Low,80,Lvl 1,11-20 years,2 years,Better,0-10 years,7 years,0 year,5 years
542,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,High,High,Lvl 3,Manufacturing Director,High,81,168,7861,15397,4,Yes,14,Excellent,Very High,80,Lvl 0,11-20 years,4 years,Best,0-10 years,0 year,0 year,0 year
543,40-49,Male,Single,No,Non Travel,Far,Research & Development,Bachelor,Medical,Low,Low,Lvl 1,Laboratory Technician,High,49,381,3708,2104,2,No,14,Excellent,High,80,Lvl 0,0-10 years,5 years,Better,0-10 years,2 years,1 years,4 years
544,40-49,Female,Divorced,No,Travel Frequently,Very Close,Sales,Bachelor,Medical,Very High,High,Lvl 4,Sales Executive,High,49,217,13770,10225,9,Yes,12,Excellent,Very High,80,Lvl 2,21-29 years,2 years,Good,21-29 years,2 years,11 years,13 years
545,30-39,Male,Divorced,No,Travel Rarely,Far,Sales,Doctor,Marketing,High,High,Lvl 2,Sales Executive,Very High,99,501,5304,25275,7,No,23,Outstanding,Very High,80,Lvl 1,11-20 years,2 years,Good,0-10 years,7 years,7 years,7 years
546,20-29,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Life Sciences,High,High,Lvl 1,Sales Representative,High,99,1396,2642,2755,1,No,11,Excellent,High,80,Lvl 0,0-10 years,6 years,Better,0-10 years,0 year,0 year,0 year
547,40-49,Male,Divorced,Yes,Travel Frequently,Close,Research & Development,Bachelor,Medical,High,Very High,Lvl 1,Research Scientist,High,57,933,2759,20366,6,Yes,12,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
548,40-49,Male,Married,No,Travel Frequently,Close,Sales,Bachelor,Life Sciences,Very High,Medium,Lvl 2,Sales Executive,Very High,47,775,6804,23683,3,No,18,Excellent,High,80,Lvl 1,0-10 years,5 years,Better,0-10 years,2 years,2 years,2 years
549,30-39,Female,Single,No,Travel Rarely,Very Close,Research & Development,College,Medical,Medium,High,Lvl 2,Healthcare Representative,High,96,970,6142,7360,3,No,11,Excellent,Very High,80,Lvl 0,11-20 years,2 years,Better,0-10 years,1 years,4 years,3 years
550,20-29,Male,Married,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Medium,High,Lvl 1,Laboratory Technician,Low,37,650,2500,4344,1,No,14,Excellent,Very High,80,Lvl 1,0-10 years,2 years,Best,0-10 years,3 years,0 year,2 years
551,30-39,Female,Married,No,Travel Rarely,Very Close,Human Resources,Bachelor,Human Resources,High,Very High,Lvl 2,Human Resources,Medium,44,141,6389,18767,9,No,15,Excellent,High,80,Lvl 1,11-20 years,3 years,Bad,0-10 years,3 years,3 years,6 years
552,50-59,Male,Married,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,High,High,Lvl 4,Healthcare Representative,Very High,81,832,11103,20420,7,No,11,Excellent,High,80,Lvl 0,31-40 years,1 years,Good,11-20 years,7 years,1 years,1 years
553,40-49,Female,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Very High,Medium,Lvl 1,Research Scientist,Very High,86,804,2342,22929,0,Yes,20,Outstanding,Very High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,2 years,2 years,3 years
554,20-29,Female,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,Medium,Lvl 2,Healthcare Representative,Low,55,975,6811,23398,8,No,19,Excellent,Low,80,Lvl 0,0-10 years,2 years,Bad,0-10 years,6 years,0 year,7 years
555,20-29,Male,Divorced,No,Travel Rarely,Very Close,Sales,Bachelor,Marketing,Very High,High,Lvl 1,Sales Representative,Medium,83,1090,2297,17967,1,No,14,Excellent,Very High,80,Lvl 2,0-10 years,2 years,Better,0-10 years,2 years,2 years,2 years
556,50-59,Male,Single,No,Travel Rarely,Very Close,Research & Development,Bachelor,Life Sciences,Very High,High,Lvl 2,Laboratory Technician,Very High,86,346,2450,10919,2,No,17,Excellent,Very High,80,Lvl 0,11-20 years,4 years,Better,0-10 years,2 years,2 years,2 years
557,30-39,Female,Divorced,No,Non Travel,Very Close,Research & Development,Master,Life Sciences,Very High,High,Lvl 2,Healthcare Representative,Low,61,1225,5093,4761,2,No,11,Excellent,Low,80,Lvl 1,11-20 years,2 years,Best,0-10 years,0 year,0 year,0 year
558,30-39,Male,Married,No,Travel Frequently,Far,Research & Development,Master,Life Sciences,Low,High,Lvl 2,Laboratory Technician,Very High,80,430,5309,21146,1,No,15,Excellent,Very High,80,Lvl 2,11-20 years,2 years,Better,11-20 years,8 years,4 years,7 years
559,30-39,Male,Married,No,Travel Rarely,Very Close,Research & Development,Doctor,Medical,Very High,High,Lvl 1,Research Scientist,High,92,268,3057,20471,6,Yes,13,Excellent,Medium,80,Lvl 1,0-10 years,0 year,Bad,0-10 years,0 year,0 year,1 years
560,30-39,Female,Divorced,No,Travel Rarely,Very Close,Research & Development,Doctor,Life Sciences,Medium,High,Lvl 2,Manufacturing Director,Low,32,167,5121,4187,3,No,14,Excellent,High,80,Lvl 1,0-10 years,3 years,Better,0-10 years,0 year,0 year,0 year
561,50-59,Male,Married,No,Travel Rarely,Very Close,Sales,Master,Marketing,High,Medium,Lvl 4,Manager,Low,31,621,16856,10084,1,No,11,Excellent,Low,80,Lvl 0,31-40 years,3 years,Best,31-40 years,6 years,1 years,16 years
562,30-39,Male,Single,Yes,Travel Rarely,Very Close,Research & Development,Master,Other,Very High,High,Lvl 1,Research Scientist,Very High,63,527,2686,5207,1,Yes,13,Excellent,High,80,Lvl 0,11-20 years,2 years,Good,11-20 years,9 years,7 years,8 years
563,20-29,Female,Single,No,Travel Rarely,Far,Sales,Below College,Medical,High,High,Lvl 2,Sales Executive,Very High,32,883,6180,22807,1,No,23,Outstanding,Medium,80,Lvl 0,0-10 years,5 years,Good,0-10 years,5 years,1 years,4 years
564,40-49,Male,Single,No,Travel Rarely,Very Close,Sales,College,Technical Degree,Medium,Low,Lvl 2,Sales Representative,High,46,954,6632,12388,0,No,13,Excellent,Low,80,Lvl 0,0-10 years,3 years,Better,0-10 years,7 years,3 years,1 years
565,20-29,Male,Single,No,Travel Rarely,Very Close,Research & Development,Below College,Medical,Low,Very High,Lvl 1,Research Scientist,High,79,310,3505,19630,1,No,18,Excellent,Very High,80,Lvl 0,0-10 years,3 years,Better,0-10 years,2 years,0 year,2 years
566,40-49,Female,Single,Yes,Travel Frequently,Far,Sales,College,Life Sciences,Medium,Very High,Lvl 2,Sales Executive,High,77,719,6397,10339,4,Yes,12,Excellent,Very High,80,Lvl 0,0-10 years,2 years,Better,0-10 years,4 years,1 years,3 years
567,30-39,Male,Single,No,Travel Rarely,Very Close,Sales,Bachelor,Other,Very High,High,Lvl 2,Sales Executive,Very High,60,304,6274,18686,1,No,22,Outstanding,High,80,Lvl 0,0-10 years,5 years,Better,0-10 years,5 years,1 years,4 years
568,50-59,Male,Married,Yes,Travel Rarely,Very Close,Research & Development,Bachelor,Medical,Very High,High,Lvl 5,Manager,Low,78,725,19859,21199,5,Yes,13,Excellent,Very High,80,Lvl 1,21-29 years,2 years,Better,0-10 years,2 years,1 years,4 years
569,30-39,Male,Single,No,Non Travel,Very Close,Sales,Master,Life Sciences,Low,Medium,Lvl 3,Sales Executive,Low,76,1434,7587,14229,1,No,15,Excellent,Medium,80,Lvl 0,11-20 years,1 years,Better,11-20 years,7 years,0 year,9 years
570,50-59,Male,Married,No,Non Travel,Close,Research & Development,Master,Medical,Very High,High,Lvl 1,Research Scientist,Very High,41,715,4258,26589,0,No,18,Excellent,Low,80,Lvl 1,0-10 years,3 years,Better,0-10 years,3 years,1 years,2 years
571,20-29,Female,Divorced,No,Travel Frequently,Very Close,Research & Development,College,Life Sciences,Low,Low,Lvl 1,Laboratory Technician,Very High,71,575,4364,5288,3,No,14,Excellent,Low,80,Lvl 1,0-10 years,2 years,Better,0-10 years,2 years,2 years,0 year
572,20-29,Female,Married,No,Travel Rarely,Far,Research & Development,Bachelor,Medical,Medium,High,Lvl 2,Healthcare Representative,High,66,657,4335,25549,4,No,12,Excellent,Low,80,Lvl 1,11-20 years,3 years,Good,0-10 years,7 years,1 years,1 years
573,20-29,Male,Single,Yes,Travel Rarely,Very Close,Sales,Bachelor,Technical Degree,Very High,Medium,Lvl 2,Sales Executive,Low,38,1146,5326,3064,6,No,17,Excellent,High,80,Lvl 0,0-10 years,2 years,Good,0-10 years,3 years,1 years,2 years
